Instance,Vehicles,Distance
100-ce-8,4,1321.44
100-ce-9,4,1683.54
100-ch-2,11,1578.9
100-ch-5,12,1906.62
100-rce-33,6,2308.12
100-rch-25,17,2007.04
100-rch-27,17,2064.9
100-rch-30,14,1764.49
100-rh-11,19,1856.54
100-rh-17,14,1643.37
200-ce-36,7,4441.88
200-ce-37,9,4700.94
200-ch-34,21,5654.26
200-ch-35,25,8446.76
200-rce-42,8,6344.88
200-rce-43,7,5698.77
200-rch-41,20,5911.28
200-re-39,4,4633.44
200-re-40,6,7222.65
200-rh-38,19,6548.97
25-ce-6,2,250.56
25-ch-3,3,191.81
25-ch-4,3,192.64
25-rce-31,2,418.37
25-rch-28,3,360.84
25-rch-29,3,302.65
25-re-19,2,544.71
25-re-20,2,480.64
25-re-22,1,500.44
25-re-23,1,588.51
25-re-24,2,499.26
25-rh-13,4,461.16
25-rh-18,4,438.11
400-ce-46,16,10382.39
400-ce-47,21,18086.89
400-ch-44,44,15871.22
400-ch-45,54,21895.53
400-rce-51,18,15861.46
400-rch-50,39,14538.89
400-re-49,9,10132.76
400-rh-48,37,15610.75
50-ce-10,2,489.96
50-ce-7,2,609.23
50-ch-1,5,453.03
50-rce-32,2,1052.64
50-rch-26,7,945.61
50-re-21,2,677.67
50-rh-12,9,990.91
50-rh-14,7,818.56
50-rh-15,9,1030.98
50-rh-16,7,783.73
600-ce-53,32,39813.76
600-ch-52,76,32615.07
600-rce-58,20,30122.14
600-rch-57,56,31779.95
600-re-56,13,24353.09
600-rh-54,57,36927.63
600-rh-55,56,42680.1
800-ce-60,33,30240.59
800-ch-59,80,31109.05
800-rce-64,32,56779.5
800-rch-63,75,55276.24
800-re-62,22,64125.68
800-rh-61,80,65185.44
